Country name,Country,Sector,Source,Gas,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Albania,ALB,Gas,GCP,CO2,0.084272,0.084137,0.084272,0.084272,0.084272,0.08413,0.10274,0.12824,0.14656,0.16854,0.18705,0.24182,0.27846,0.3664,0.42905,0.55326,0.67101,0.69938,0.67822,0.70681,0.7731,0.80568,0.8647,0.97462,1.0442,0.97096,1.0516,0.45089,0.35559,0.44701,0.46533,0.2748,0.19815,0.1573,0.098928,0.051296,0.043968,0.03664,0.032907,0.029348,0.021957,0.014656,0.025648,0.025648,0.032976,0.021965,0.021963,0.032944,0.014656,0.01832,0.025648,0.029312,0.029312,0.032976,0.058586,0.062288,0.16135,0.084272,0.084609,0.085935
Albania,ALB,Cement,GCP,CO2,0.03664,0.05853,0.058624,0.065952,0.062288,0.073157,0.069716,0.10992,0.15022,0.16488,0.17971,0.17954,0.19786,0.25648,0.2787,0.32243,0.34834,0.37349,0.3996,0.42116,0.4983,0.39185,0.41403,0.4177,0.42869,0.42502,0.42136,0.4289,0.37025,0.37739,0.30778,0.24549,0.080727,0.080481,0.040304,0.080608,0.080608,0.040304,0.032907,0.044022,0.073191,,,0.23083,0.22717,0.19402,0.20865,0.34775,0.35907,0.43235,0.50197,0.6925,0.85738,0.76944,0.6774,0.7731,0.78107,0.78043,0.78043,0.78043
Algeria,DZA,Total fossil fuels and cement,GCP,CO2,6.1512,6.0559,5.661,5.4192,5.643,6.5885,8.4209,8.4316,9.0502,11.263,15.059,18.6495,28.3226,38.2774,31.8767,32.0012,39.1311,41.8449,62.4553,45.5456,66.4165,46.342,39.173,52.5039,70.9465,72.6091,76.0804,83.8835,83.708,79.8083,76.7366,78.8054,79.8818,81.9424,86.1467,94.982,96.7861,87.0043,106.6208,91.6679,87.4427,83.7807,89.4067,91.0482,87.8531,106.4732,100.2012,108.4,109.0318,120.1859,117.8141,119.8069,128.11,132.4346,143.2208,150.8176,148.839,153.4484,164.3093,171.707
Algeria,DZA,Oil,GCP,CO2,4.3712,4.3099,4.134,4.1257,3.7812,4.1793,5.9723,6.0906,6.5356,7.8677,6.837,7.6175,7.2584,9.3762,9.607,11.2912,11.0349,13.8682,13.1648,15.3595,18.6204,18.1566,18.6424,22.0222,22.7681,22.5043,22.7608,25.0911,27.2846,25.1534,23.2041,26.0657,28.6781,27.993,30.4502,27.0806,27.4067,30.0192,33.0896,22.1883,30.8655,28.4583,29.4952,31.9428,32.8184,31.0524,35.233,38.3218,37.3631,44.8913,45.3654,46.9197,48.5393,51.9189,52.8862,55.6305,54.7365,55.374,56.6105,60.192
Algeria,DZA,Coal,GCP,CO2,1.2568,0.76531,0.40644,0.25282,0.28213,0.26395,0.27114,0.19045,0.2016,0.45053,0.97096,0.90134,0.64853,0.82074,0.69982,0.79133,0.58619,0.60456,0.57158,0.89402,1.6085,1.9091,1.9749,3.1476,4.0267,3.0778,2.726,2.9678,2.975,2.9862,2.9422,2.6894,2.3779,1.9236,2.2862,1.9346,1.407,1.3813,2.1105,2.1727,1.9676,2.0958,2.6088,2.7883,1.9236,2.3633,2.7004,3.0118,3.0082,1.5938,1.2165,1.0479,1.0369,0.72547,0.54594,0.50197,,0.79509,2.1843,2.1843
Algeria,DZA,Gas flaring,GCP,CO2,,,,,,,,,,,6.6575,8.9805,16.8214,24.4352,18.6534,14.9914,20.7583,22.8927,23.5412,19.2836,18.6864,12.9459,9.2589,8.4058,10.981,16.4074,14.4252,12.1168,11.0611,11.7724,8.6947,8.6544,13.8976,12.9412,13.2045,15.5793,14.3995,13.326,13.3333,12.9517,11.1092,8.4309,8.5921,8.2587,7.0056,6.1848,6.423,8.9915,9.5267,10.5853,9.611,6.9321,6.7232,7.0422,7.5955,6.7601,6.2691,5.7708,5.7708,5.7708
Algeria,DZA,Gas,GCP,CO2,,0.4504,0.68839,0.60456,1.1908,1.778,1.8503,1.7909,1.8841,2.4761,0.13557,0.67418,3.1364,3.1474,2.4512,4.4586,6.0634,3.6054,23.8563,8.1671,25.4795,11.1651,7.1704,16.6101,30.5101,27.6998,33.0859,40.1171,38.9723,36.673,38.908,38.428,31.9318,36.0977,37.3859,47.2216,50.5669,39.0069,54.6412,50.9202,39.7104,41.0295,44.6532,44.0266,41.209,61.2108,49.3064,51.0762,51.5506,54.894,53.3678,56.7206,64.1145,65.45,73.8333,78.7687,78.6771,82.3521,90.5873,94.4036
Algeria,DZA,Cement,GCP,CO2,0.52334,0.53028,0.4322,0.43611,0.38887,0.36727,0.32709,0.35964,0.42902,0.46867,0.45792,0.47609,0.45792,0.4979,0.46519,0.46877,0.68832,0.87407,1.3214,1.8414,2.0217,2.1653,2.1263,2.3183,2.6606,2.9198,3.0825,3.5906,3.415,3.2233,2.9876,2.9679,2.9964,2.9869,2.8199,3.1658,3.006,3.271,3.4463,3.435,3.7899,3.7662,4.0575,4.0319,4.8965,5.6619,6.5383,6.9988,7.5833,8.2214,8.2534,8.1865,7.696,7.298,8.36,9.1564,9.1564,9.1564,9.1564,9.1564
Andorra,AND,Total fossil fuels and cement,GCP,CO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4067,0.4067,0.4067,0.41037,0.4067,0.42502,0.45434,0.46533,0.49098,0.51296,0.52395,0.52395,0.53128,0.53494,0.56059,0.57525,0.54594,0.53861,0.53861,0.51662,0.51662,0.49098,0.48731,0.47632,0.46166,0.46533,0.46899,0.46533,0.46421,0.47049
Andorra,AND,Oil,GCP,CO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4067,0.4067,0.4067,0.41037,0.4067,0.42502,0.45434,0.46533,0.49098,0.51296,0.52395,0.52395,0.53128,0.53494,0.56059,0.57525,0.54594,0.53861,0.53861,0.51662,0.51662,0.49098,0.48731,0.47632,0.46166,0.46533,0.46899,0.46533,0.46421,0.47049
